product_id,name,category,price,rating,num_reviews,description,tags
P0001,Wireless Noise-Canceling Headphones,Electronics,129.99,4.6,1842,"Over-ear headphones with active noise cancellation, long battery life, and quick charge.","audio|bluetooth|anc"
P0002,Bluetooth Earbuds,Electronics,49.99,4.2,5221,"Compact true wireless earbuds with charging case and touch controls.","audio|bluetooth|portable"
P0003,Smart Fitness Watch,Electronics,89.0,4.4,3110,"Fitness watch with heart-rate tracking, sleep monitoring, and water resistance.","wearable|health|gps"
P0004,USB-C Fast Charger,Electronics,19.99,4.7,9022,"Fast USB-C wall charger with power delivery for phones and laptops.","charger|usb-c|power"
P0005,Portable Power Bank 20000mAh,Electronics,34.99,4.5,6780,"High-capacity power bank with dual USB outputs and LED indicator.","battery|travel|charging"
P0006,Ergonomic Office Chair,Home,199.0,4.3,1433,"Adjustable ergonomic chair with lumbar support and breathable mesh back.","office|comfort|adjustable"
P0007,Standing Desk Converter,Home,129.0,4.4,980,"Desk converter to switch between sitting and standing positions.","office|ergonomics|standing"
P0008,Stainless Steel Cookware Set,Home,159.99,4.5,2120,"Durable cookware set with even heat distribution and dishwasher-safe design.","kitchen|pots|pans"
P0009,Air Fryer 5L,Home,79.99,4.6,8041,"Air fryer with temperature control for crispy meals using less oil.","kitchen|healthy|appliance"
P0010,Robot Vacuum Cleaner,Home,249.0,4.1,1675,"Robot vacuum with scheduling, app control, and automatic docking.","cleaning|smart|vacuum"
P0011,Premium Yoga Mat,Sports,29.99,4.7,5312,"Non-slip yoga mat with extra cushioning for joints and stability.","fitness|yoga|non-slip"
P0012,Adjustable Dumbbell Set,Sports,129.99,4.5,2444,"Space-saving adjustable dumbbells for home strength training.","strength|weights|home-gym"
P0013,Running Shoes,Sports,69.99,4.3,3890,"Lightweight running shoes with breathable mesh and responsive cushioning.","running|comfort|breathable"
P0014,Insulated Water Bottle,Sports,18.5,4.8,12033,"Double-wall insulated bottle keeps drinks cold or hot for hours.","hydration|insulated|travel"
P0015,Camping Lantern,Sports,24.99,4.4,1750,"Rechargeable LED lantern with adjustable brightness for camping.","outdoor|led|rechargeable"
P0016,Facial Cleanser Gentle,Beauty,12.99,4.5,6420,"Gentle facial cleanser suitable for sensitive skin, fragrance-free.","skincare|sensitive|cleanser"
P0017,Vitamin C Serum,Beauty,16.99,4.4,5181,"Brightening vitamin C serum to even skin tone and reduce dullness.","skincare|brightening|serum"
P0018,Moisturizing Cream,Beauty,14.99,4.6,7322,"Daily moisturizer with hyaluronic acid for long-lasting hydration.","skincare|hydration|hyaluronic"
P0019,Hair Dryer Ionic,Beauty,39.99,4.2,2840,"Ionic hair dryer with multiple heat settings and cool shot.","hair|styling|ionic"
P0020,Makeup Brush Set,Beauty,19.99,4.7,9103,"Soft synthetic brushes for foundation, powder, and eye makeup.","makeup|tools|brushes"
P0021,Classic Cotton T-Shirt,Fashion,14.0,4.2,5010,"Soft cotton t-shirt with regular fit, easy to pair with any outfit.","casual|cotton|basic"
P0022,Slim Fit Jeans,Fashion,39.99,4.3,2795,"Stretch denim slim fit jeans with comfortable waistband.","denim|casual|stretch"
P0023,Waterproof Rain Jacket,Fashion,59.0,4.4,1630,"Lightweight waterproof jacket with hood and breathable lining.","outerwear|waterproof|travel"
P0024,Leather Wallet,Fashion,24.99,4.6,4481,"Genuine leather wallet with multiple card slots and slim profile.","accessories|leather|minimal"
P0025,Sneakers Low-Top,Fashion,49.5,4.3,3520,"Everyday low-top sneakers with cushioned insole.","shoes|casual|everyday"
P0026,Paperback Mystery Novel,Books,9.99,4.1,812,"Fast-paced mystery novel with twists and suspense.","fiction|mystery|paperback"
P0027,Data Science Handbook,Books,32.0,4.7,2210,"Practical guide covering statistics, Python, ML workflows, and best practices.","non-fiction|education|python"
P0028,Cookbook Quick Meals,Books,18.99,4.5,1333,"Recipes for quick healthy meals with simple ingredients.","cooking|healthy|recipes"
P0029,Personal Finance Guide,Books,15.99,4.4,1977,"Budgeting, saving, and investing basics with actionable steps.","finance|self-help|budget"
P0030,Children Picture Book,Books,8.5,4.6,3022,"Illustrated storybook for kids with colorful pictures and simple text.","kids|story|illustrated"
P0031,LED Desk Lamp,Home,22.99,4.6,6140,"Adjustable LED lamp with dimming levels and USB charging port.","office|lighting|usb"
P0032,Ceramic Coffee Mug Set,Home,19.0,4.5,2100,"Set of ceramic mugs, microwave safe, minimalist design.","kitchen|coffee|ceramic"
P0033,Non-Stick Baking Tray,Home,11.99,4.7,4870,"Non-stick baking tray for cookies and roasting.","kitchen|baking|non-stick"
P0034,Smart Home Speaker,Electronics,59.99,4.3,7402,"Smart speaker with voice assistant and multi-room audio.","smart-home|audio|assistant"
P0035,4K Streaming Stick,Electronics,39.0,4.5,9910,"4K streaming stick with Wi-Fi and voice remote.","tv|streaming|4k"
P0036,Resistance Bands Set,Sports,15.99,4.6,8400,"Set of resistance bands for strength training and mobility.","fitness|bands|mobility"
P0037,Tennis Racket,Sports,79.0,4.2,620,"Lightweight tennis racket for intermediate players.","tennis|outdoor|sport"
P0038,Blender 700W,Home,49.99,4.3,3201,"Blender with multiple speeds for smoothies and soups.","kitchen|appliance|smoothies"
P0039,Matte Lipstick,Beauty,9.99,4.1,2105,"Long-wear matte lipstick with rich pigment.","makeup|lip|matte"
P0040,SPF 50 Sunscreen,Beauty,13.49,4.6,9055,"Broad spectrum sunscreen SPF 50, lightweight and non-greasy.","skincare|spf|sun"
P0041,Travel Backpack,Fashion,44.99,4.5,5100,"Carry-on friendly backpack with laptop compartment and organizers.","travel|bag|laptop"
P0042,Wool Scarf,Fashion,19.99,4.4,1180,"Warm wool scarf for winter, soft and comfortable.","winter|accessories|warm"
P0043,Notebook A5 Dotted,Books,6.99,4.7,4020,"Dotted notebook for bullet journaling and notes.","stationery|journal|notes"
P0044,Wireless Mouse,Electronics,17.99,4.4,12040,"Ergonomic wireless mouse with long battery life.","computer|peripheral|wireless"
P0045,Mechanical Keyboard,Electronics,89.99,4.6,2910,"Mechanical keyboard with tactile switches and backlight.","computer|keyboard|mechanical"
P0046,Electric Toothbrush,Beauty,34.0,4.5,6701,"Electric toothbrush with timer and multiple brushing modes.","hygiene|dental|electric"
P0047,Protein Powder Vanilla,Sports,27.99,4.2,1450,"Whey protein powder vanilla flavor for post-workout recovery.","nutrition|protein|gym"
P0048,Smart LED Bulb,Home,12.0,4.3,5220,"Smart LED bulb with app control and color changing.","smart-home|lighting|rgb"
P0049,E-reader 6-inch,Electronics,109.0,4.4,3891,"E-reader with adjustable light and long battery life.","reading|portable|ebook"
P0050,Cozy Throw Blanket,Home,24.5,4.7,8750,"Soft throw blanket for sofa and bed, machine washable.","home|comfort|soft"
P0051,Clean Beauty Shampoo,Beauty,10.99,4.3,2040,"Sulfate-free shampoo for daily use with gentle ingredients.","hair|clean|sulfate-free"
P0052,Conditioner Hydrating,Beauty,11.49,4.4,1980,"Hydrating conditioner for smooth hair and shine.","hair|hydration|smooth"
P0053,Graphic Hoodie,Fashion,35.0,4.2,1502,"Comfortable hoodie with graphic print, fleece lining.","casual|hoodie|warm"
P0054,Smartphone Tripod,Sports,21.99,4.5,3090,"Phone tripod for content creation, adjustable height.","photo|video|tripod"
P0055,Home Workout Kettlebell,Sports,32.99,4.6,2330,"Cast iron kettlebell for strength and conditioning workouts.","strength|kettlebell|home-gym"
P0056,Face Mask Clay,Beauty,14.0,4.2,1650,"Clay face mask for deep cleansing and pore care.","skincare|mask|clay"
P0057,Wireless Charging Pad,Electronics,22.0,4.4,7200,"Qi wireless charging pad compatible with most phones.","charger|wireless|qi"
P0058,Smart Thermostat,Home,179.0,4.1,840,"Smart thermostat for energy savings with app scheduling.","smart-home|energy|hvac"
P0059,Noise-Isolating Earplugs,Sports,9.5,4.3,4200,"Comfortable earplugs for sleep, travel, and concerts.","sleep|travel|noise"
P0060,Minimalist Watch,Fashion,29.99,4.3,980,"Minimalist analog watch with leather strap.","accessories|watch|minimal"
